#,Code,District,Headquarters,Population,Area (km2),Density (/km2),State/UnionTerritory,City Tier
1,ES,Gangtok,Gangtok,281293,954,295,Sikkim,Tier I
2,NS,Mangan,Mangan,43354,4226,10,Sikkim,Tier III
3,PS,Pakyong,Pakyong,74583,404,180,Sikkim,Tier II
4,,Soreng,Soreng,64760,293,221,Sikkim,Tier II
5,SS,Namchi,Namchi,146742,750,196,Sikkim,Tier I
6,WS,Gyalshing,Gyalshing,136299,1166,117,Sikkim,Tier I
