#,Code,District,Headquarters,Population,Area (km2),Density (/km2),State/UnionTerritory,City Tier
1,DH,Dhalai,Ambassa,377988,2400.0,157,Tripura,Tier I
2,GM,Gomati,Udaipur,436868,1522.8,287,Tripura,Tier I
3,KH,Khowai,Khowai,327391,1005.67,326,Tripura,Tier I
4,NT,North Tripura,Dharmanagar,415946,1444.5,288,Tripura,Tier I
5,SP,Sepahijala,Bishramganj,484233,1044.78,463,Tripura,Tier I
6,ST,South Tripura,Belonia,433737,1534.2,283,Tripura,Tier I
7,UK,Unakoti,Kailashahar,277335,591.93,469,Tripura,Tier I
8,WT,West Tripura,Agartala,917534,942.55,973,Tripura,Tier I
