Code,District,Headquarters,Population,Area (km2),Density (/km2),State/UnionTerritory,City Tier
FR,Farrukhabad,Fatehgarh,1887577,2279,865,Uttar Pradesh,Tier III
FT,Fatehpur,Fatehpur,2632684,4152,634,Uttar Pradesh,Tier III
FI,Firozabad,Firozabad,2496761,2361,1044,Uttar Pradesh,Tier III
GB,Gautam Buddha Nagar,Noida,1674714,1269,1252,Uttar Pradesh,Tier III
GZ,Ghaziabad,Ghaziabad,4661452,1175,3967,Uttar Pradesh,Tier II
GP,Ghazipur,Ghazipur,3622727,3377,1072,Uttar Pradesh,Tier III
GN,Gonda,Gonda,3431386,4425,857,Uttar Pradesh,Tier III
GR,Gorakhpur,Gorakhpur,4436275,3325,1336,Uttar Pradesh,Tier II
HM,Hamirpur,Hamirpur,1104021,4325,268,Uttar Pradesh,Tier II
PN,Hapur,Hapur,1338211,660,2028,Uttar Pradesh,Tier III
HR,Hardoi,Hardoi,4091380,5986,683,Uttar Pradesh,Tier III
HT,Hathras,Hathras,1565678,1752,851,Uttar Pradesh,Tier III
JL,Jalaun,Orai,1670718,4565,366,Uttar Pradesh,Tier III
JU,Jaunpur,Jaunpur,4476072,4038,1108,Uttar Pradesh,Tier III
JH,Jhansi,Jhansi,2000755,5024,398,Uttar Pradesh,Tier II
KJ,Kannauj,Kannauj,1658005,1993,792,Uttar Pradesh,Tier III
KD,Kanpur Dehat,Akbarpur,1795092,3021,594,Uttar Pradesh,Tier III
KN,Kanpur Nagar,Kanpur,4572951,3156,1415,Uttar Pradesh,Tier III
KR,Kasganj,Kasganj,1438156,1955,736,Uttar Pradesh,Tier III
KS,Kaushambi,Manjhanpur,1596909,1837,897,Uttar Pradesh,Tier III
KU,Kushinagar,Padrauna,3560830,2909,1226,Uttar Pradesh,Tier III
LK,Lakhimpur Kheri,Lakhimpur,4013634,7674,523,Uttar Pradesh,Tier III
LA,Lalitpur,Lalitpur,1218002,5039,242,Uttar Pradesh,Tier III
LU,Lucknow,Lucknow,4588455,2528,1815,Uttar Pradesh,Tier II
MG,Maharajganj,Maharajganj,2665292,2953,903,Uttar Pradesh,Tier III
MH,Mahoba,Mahoba,876055,2847,288,Uttar Pradesh,Tier III
MP,Mainpuri,Mainpuri,1847194,2760,670,Uttar Pradesh,Tier III
MT,Mathura,Mathura,2541894,3333,761,Uttar Pradesh,Tier II
MB,Mau,Mau,2205170,1713,1287,Uttar Pradesh,Tier III
ME,Meerut,Meerut,3447405,2522,1342,Uttar Pradesh,Tier II
MI,Mirzapur,Mirzapur,2494533,4522,561,Uttar Pradesh,Tier III
MO,Moradabad,Moradabad,4773138,3718,1284,Uttar Pradesh,Tier II
MU,Muzaffarnagar,Muzaffarnagar,4138605,4008,1033,Uttar Pradesh,Tier III
PI,Pilibhit,Pilibhit,2037225,3499,567,Uttar Pradesh,Tier III
PR,Pratapgarh,Pratapgarh,3173752,3717,854,Uttar Pradesh,Tier III
AH,Prayagraj,Prayagraj,5959798,5481,1087,Uttar Pradesh,Tier II
RB,Raebareli,Raebareli,3404004,4609,739,Uttar Pradesh,Tier III
RA,Rampur,Rampur,2335398,2367,987,Uttar Pradesh,Tier III
SA,Saharanpur,Saharanpur,3464228,3689,939,Uttar Pradesh,Tier II
SM,Sambhal,Sambhal,2217020,2453,890,Uttar Pradesh,Tier III
SK,Sant Kabir Nagar,Khalilabad,1714300,1442,1014,Uttar Pradesh,Tier III
SJ,Shahjahanpur,Shahjahanpur,3002376,4575,673,Uttar Pradesh,Tier III
SH,Shamli,Shamli,1274815,1063,1200,Uttar Pradesh,Tier III
SV,Shravasti,Shravasti,1114615,1948,572,Uttar Pradesh,Tier III
SN,Siddharthnagar,Naugarh,2553526,2751,882,Uttar Pradesh,Tier III
SI,Sitapur,Sitapur,4474446,5743,779,Uttar Pradesh,Tier III
SO,Sonbhadra,Robertsganj,1862612,6788,274,Uttar Pradesh,Tier III
SU,Sultanpur,Sultanpur,3790922,4436,855,Uttar Pradesh,Tier III
UN,Unnao,Unnao,3110595,4561,682,Uttar Pradesh,Tier III
VA,Varanasi,Varanasi,3682194,1535,2399,Uttar Pradesh,Tier II
ES,Gangtok,Gangtok,281293,954,295,Sikkim,Tier III
NS,Mangan,Mangan,43354,4226,10,Sikkim,Tier III
PS,Pakyong,Pakyong,74583,404,180,Sikkim,Tier III
,Soreng,Soreng,64760,293,221,Sikkim,Tier III
SS,Namchi,Namchi,146742,750,196,Sikkim,Tier III
WS,Gyalshing,Gyalshing,136299,1166,117,Sikkim,Tier III
–,Balod,Balod,826165,3527,234.0,Chhattisgarh,Tier III
–,Baloda Bazar,Baloda Bazar,1305343,4748,275.0,Chhattisgarh,Tier III
–,Balrampur-Ramanujganj,Balrampur,730491,3806,190.0,Chhattisgarh,Tier III
BA,Bastar,Jagdalpur,834873,4030,210.0,Chhattisgarh,Tier III
–,Bemetara,Bemetara,795759,2855,270.0,Chhattisgarh,Tier III
BJ,Bijapur,Bijapur,229832,6562,35.0,Chhattisgarh,Tier III
BI,Bilaspur,Bilaspur,1961922,3508,460.0,Chhattisgarh,Tier II
DA,Dantewada,Dantewada,533638,3411,59.0,Chhattisgarh,Tier III
DH,Dhamtari,Dhamtari,799199,2029,394.0,Chhattisgarh,Tier III
DU,Durg,Durg,1721726,2238,770.0,Chhattisgarh,Tier III
–,Gariaband,Gariaband,597653,5823,103.0,Chhattisgarh,Tier III
–,Gaurela-Pendra-Marwahi,Gaurela,336420,2307,150.0,Chhattisgarh,Tier III
JC,Janjgir-Champa,Janjgir,1620632,3848,421.0,Chhattisgarh,Tier III
JA,Jashpur,Jashpur Nagar,852043,5825,146.0,Chhattisgarh,Tier III
KW,Kabirdham,Kawardha,584667,4237,195.0,Chhattisgarh,Tier III
KK,Kanker,Kanker,748593,6513,115.0,Chhattisgarh,Tier III
–,Khairagarh-Chhuikhadan-Gandai,Khairagarh,368444,-,,Chhattisgarh,Tier III
–,Kondagaon,Kondagaon,578326,7768,74.0,Chhattisgarh,Tier III
KB,Korba,Korba,1206563,6615,183.0,Chhattisgarh,Tier III
KJ,Korea,Baikunthpur,659039,6578,100.0,Chhattisgarh,Tier III
MA,Mahasamund,Mahasamund,1032275,4779,216.0,Chhattisgarh,Tier III
MG,Manendragarh-Chirmiri-Bharatpur,Manendragarh,422248,1726.39,,Chhattisgarh,Tier III
MM,Mohla-Manpur-Ambagarh Chowki,Mohla,283947,-,,Chhattisgarh,Tier III
–,Mungeli,Mungeli,701707,2750,255.0,Chhattisgarh,Tier III
NR,Narayanpur,Narayanpur,140206,6640,20.0,Chhattisgarh,Tier III
RG,Raigarh,Raigarh,1493627,7068,211.0,Chhattisgarh,Tier III
RP,Raipur,Raipur,2160876,2892,750.0,Chhattisgarh,Tier II
RN,Rajnandgaon,Rajnandgaon,1537520,8062,191.0,Chhattisgarh,Tier III
SB,Sarangarh-Bilaigarh,Sarangarh,607434,-,,Chhattisgarh,Tier III
ST,Sakti,Sakti,653036,-,,Chhattisgarh,Tier III
SK,Sukma,Sukma,250159,5897,42.0,Chhattisgarh,Tier III
–,Surajpur,Surajpur,789043,2787,280.0,Chhattisgarh,Tier III
SJ,Surguja,Ambikapur,839661,3265,150.0,Chhattisgarh,Tier III
AG,Agar Malwa,Agar,571275,2785,205,Madhya Pradesh,Tier III
AL,Alirajpur,Alirajpur,728677,3182,229,Madhya Pradesh,Tier III
AP,Anuppur,Anuppur,749521,3747,200,Madhya Pradesh,Tier III
AS,Ashoknagar,Ashoknagar,844979,4674,181,Madhya Pradesh,Tier III
BL,Balaghat,Balaghat,1701156,9229,184,Madhya Pradesh,Tier III
BR,Barwani,Barwani,1385659,5432,256,Madhya Pradesh,Tier III
BE,Betul,Betul,1575247,10043,157,Madhya Pradesh,Tier III
BD,Bhind,Bhind,1703562,4459,382,Madhya Pradesh,Tier III
BP,Bhopal,Bhopal,2368145,2772,854,Madhya Pradesh,Tier II
BU,Burhanpur,Burhanpur,756993,3427,221,Madhya Pradesh,Tier III
CT,Chhatarpur,Chhatarpur,1762857,8687,203,Madhya Pradesh,Tier III
CN,Chhindwara,Chhindwara,2090306,11815,177,Madhya Pradesh,Tier III
DM,Damoh,Damoh,1263703,7306,173,Madhya Pradesh,Tier III
DT,Datia,Datia,786375,2694,292,Madhya Pradesh,Tier III
DE,Dewas,Dewas,1563107,7020,223,Madhya Pradesh,Tier III
DH,Dhar,Dhar,2184672,8153,268,Madhya Pradesh,Tier III
DI,Dindori,Dindori,704218,7427,94,Madhya Pradesh,Tier III
GU,Guna,Guna,1240938,6485,194,Madhya Pradesh,Tier III
GW,Gwalior,Gwalior,2030543,5465,445,Madhya Pradesh,Tier II
HA,Harda,Harda,570302,3339,171,Madhya Pradesh,Tier III
,Hoshangabad,Hoshangabad,1240975,6698,185,Madhya Pradesh,Tier III
IN,Indore,Indore,3272335,3898,839,Madhya Pradesh,Tier II
JA,Jabalpur,Jabalpur,2460714,5210,472,Madhya Pradesh,Tier II
JH,Jhabua,Jhabua,1024091,6782,285,Madhya Pradesh,Tier III
KA,Katni,Katni,1291684,4947,261,Madhya Pradesh,Tier III
EN,Khandwa,Khandwa,1309443,7349,178,Madhya Pradesh,Tier III
WN,Khargone,Khargone,1872413,8010,233,Madhya Pradesh,Tier III
MH,Maihar,Maihar,0,-,-,Madhya Pradesh,Tier III
ML,Mandla,Mandla,1053522,5805,182,Madhya Pradesh,Tier III
MS,Mandsaur,Mandsaur,1339832,5530,242,Madhya Pradesh,Tier III
MG,Mauganj,Mauganj,0,-,-,Madhya Pradesh,Tier III
MO,Morena,Morena,1965137,4991,394,Madhya Pradesh,Tier III
,Narsinghpur,Narsinghpur,1092141,5133,213,Madhya Pradesh,Tier III
NE,Neemuch,Neemuch,825958,4267,194,Madhya Pradesh,Tier III
–,Niwari,Niwari,404807,1170,345,Madhya Pradesh,Tier III
PA,Panna,Panna,1016028,7135,142,Madhya Pradesh,Tier III
PD,Pandhurna,Pandhurna,0,-,-,Madhya Pradesh,Tier III
RS,Raisen,Raisen,1331699,8466,157,Madhya Pradesh,Tier III
RG,Rajgarh,Rajgarh,1546541,6143,251,Madhya Pradesh,Tier III
RL,Ratlam,Ratlam,1454483,4861,299,Madhya Pradesh,Tier II
RE,Rewa,Rewa,2363744,6314,374,Madhya Pradesh,Tier III
SG,Sagar,Sagar,2378295,10252,272,Madhya Pradesh,Tier III
ST,Satna,Satna,2228619,7502,297,Madhya Pradesh,Tier III
SR,Sehore,Sehore,1311008,6578,199,Madhya Pradesh,Tier III
SO,Seoni,Seoni,1378876,8758,157,Madhya Pradesh,Tier III
SH,Shahdol,Shahdol,1064989,6205,172,Madhya Pradesh,Tier III
SJ,Shajapur,Shajapur,1512353,6196,244,Madhya Pradesh,Tier III
SP,Sheopur,Sheopur,687952,6585,104,Madhya Pradesh,Tier III
SV,Shivpuri,Shivpuri,1725818,10290,168,Madhya Pradesh,Tier III
SI,Sidhi,Sidhi,1126515,10520,232,Madhya Pradesh,Tier III
SN,Singrauli,Waidhan,1178132,5672,208,Madhya Pradesh,Tier III
TI,Tikamgarh,Tikamgarh,1444920,5055,286,Madhya Pradesh,Tier III
UJ,Ujjain,Ujjain,1986864,6091,356,Madhya Pradesh,Tier II
UM,Umaria,Umaria,643579,4062,158,Madhya Pradesh,Tier III
VI,Vidisha,Vidisha,1458212,7362,198,Madhya Pradesh,Tier III
AJ,Anjaw,Hawai,21089,6190,3,Arunachal Pradesh,Tier III
CH,Changlang,Changlang,147951,4662,32,Arunachal Pradesh,Tier III
EK,East Kameng,Seppa,78413,4134,19,Arunachal Pradesh,Tier III
ES,East Siang,Pasighat,99019,3603,27,Arunachal Pradesh,Tier III
,Itanagar Capital Complex,Itanagar,122930,200,614.65,Arunachal Pradesh,Tier III
–,Kamle,Raga,22256,200,111,Arunachal Pradesh,Tier III
–,Kra Daadi,Palin,22290,2202,10,Arunachal Pradesh,Tier III
KK,Kurung Kumey,Koloriang,89717,6040,15,Arunachal Pradesh,Tier III
–,Lepa Rada,Basar,0,–,–,Arunachal Pradesh,Tier III
EL,Lohit,Tezu,145538,2402,61,Arunachal Pradesh,Tier III
LD,Longding,Longding,60000,1200,50,Arunachal Pradesh,Tier III
DV,Lower Dibang Valley,Roing,53986,3900,14,Arunachal Pradesh,Tier III
–,Lower Siang,Likabali,22630,–,–,Arunachal Pradesh,Tier III
LB,Lower Subansiri,Ziro,82839,3508,24,Arunachal Pradesh,Tier III
–,Namsai,Namsai,95950,1587,60,Arunachal Pradesh,Tier III
–,Pakke-Kessang,Lemmi,15358,1932,7.9,Arunachal Pradesh,Tier III
PA,Papum Pare,Yupia,176385,2875,61,Arunachal Pradesh,Tier III
–,Shi Yomi,Tato,13310,2875,5,Arunachal Pradesh,Tier III
–,Siang,Boleng,31920,2919,11,Arunachal Pradesh,Tier III
TA,Tawang,Tawang,49950,2085,24,Arunachal Pradesh,Tier III
TI,Tirap,Khonsa,111997,2362,47,Arunachal Pradesh,Tier III
UD,Upper Dibang Valley,Anini,8004,9129,1,Arunachal Pradesh,Tier III
US,Upper Siang,Yingkiong,35289,6188,6,Arunachal Pradesh,Tier III
UB,Upper Subansiri,Daporijo,83205,7032,12,Arunachal Pradesh,Tier III
WK,West Kameng,Bomdila,87013,7422,12,Arunachal Pradesh,Tier III
WS,West Siang,Aalo,112272,8325,13,Arunachal Pradesh,Tier III
,Keyi Panyor,Yachuli,30000,,,Arunachal Pradesh,Tier III
,Bichom,Napangphung,9710,,,Arunachal Pradesh,Tier III
AN,Angul,Angul,1271703,6232.0,199,Odisha,Tier III
BD,Boudh,Boudh,439917,3098.0,142,Odisha,Tier III
BH,Bhadrak,Bhadrak,1506522,2505.0,601,Odisha,Tier III
BL,Balangir,Balangir,1648574,6575.0,251,Odisha,Tier III
BR,Bargarh,Bargarh,1478833,5837.0,253,Odisha,Tier III
BW,Balasore,Balasore,2317419,3634.0,609,Odisha,Tier III
CU,Cuttack,Cuttack,2618708,3932.0,666,Odisha,Tier II
DE,Debagarh,Debagarh,312164,2781.0,106,Odisha,Tier III
DH,Dhenkanal,Dhenkanal,1192948,4452.0,268,Odisha,Tier III
GN,Ganjam,Chhatrapur,3529031,8206.0,430,Odisha,Tier III
GP,Gajapati,Paralakhemundi,575880,3850.0,133,Odisha,Tier III
JH,Jharsuguda,Jharsuguda,579499,2081.0,274,Odisha,Tier III
JP,Jajpur,Jajpur,1826275,2888.0,630,Odisha,Tier III
JS,Jagatsinghpur,Jagatsinghpur,1136604,1759.0,681,Odisha,Tier III
KH,Khordha,Khordha,2251673,2813.0,800,Odisha,Tier III
KJ,Kendujhar,Kendujhar,1802777,8240.0,217,Odisha,Tier III
KL,Kalahandi,Bhawanipatna,1573054,7920.0,199,Odisha,Tier III
KN,Kandhamal,Phulbani,731952,8021.0,91,Odisha,Tier III
KO,Koraput,Koraput,1376934,8807.0,156,Odisha,Tier III
KP,Kendrapara,Kendrapara,1439891,2644.0,545,Odisha,Tier III
ML,Malkangiri,Malkangiri,612727,5791.0,106,Odisha,Tier III
MY,Mayurbhanj,Baripada,2513895,10418.0,241,Odisha,Tier III
NB,Nabarangpur,Nabarangpur,1218762,5294.0,230,Odisha,Tier III
NU,Nuapada,Nuapada,606490,3408.0,157,Odisha,Tier III
NY,Nayagarh,Nayagarh,962215,3890.0,247,Odisha,Tier III
PU,Puri,Puri,1697983,3051.0,488,Odisha,Tier III
RA,Rayagada,Rayagada,961959,7584.7,136,Odisha,Tier III
SA,Sambalpur,Sambalpur,1044410,6702.0,158,Odisha,Tier III
SO,Subarnapur,Subarnapur,652107,2284.0,279,Odisha,Tier III
SU,Sundargarh,Sundergarh,2080664,9712.0,214,Odisha,Tier III
CH,Chandigarh,Chandigarh,1055450,114,9258,Chandigarh,Tier II
NG,North Goa,Panaji,817761,1736,471,Goa,Tier III
SG,South Goa,Margao,639962,1966,326,Goa,Tier III
EG,East Garo Hills,Williamnagar,317618,2603,121,Meghalaya,Tier III
EK,East Khasi Hills,Shillong,824059,2752,292,Meghalaya,Tier III
–,East Jaintia Hills,Khliehriat,122436,2115,58,Meghalaya,Tier III
–,Eastern West Khasi Hills,Mairang,131451,1356,97,Meghalaya,Tier III
–,North Garo Hills,Resubelpara,118325,1113,106,Meghalaya,Tier III
RB,Ri Bhoi,Nongpoh,258380,2378,109,Meghalaya,Tier III
SG,South Garo Hills,Baghmara,142574,1850,77,Meghalaya,Tier III
–,South West Garo Hills,Ampati,172495,822,210,Meghalaya,Tier III
–,South West Khasi Hills,Mawkyrwat,110152,1341,82,Meghalaya,Tier III
WG,West Garo Hills,Tura,642923,3714,173,Meghalaya,Tier III
WJ,West Jaintia Hills,Jowai,270352,1693,160,Meghalaya,Tier III
WK,West Khasi Hills,Nongstoin,385601,5247,73,Meghalaya,Tier III
AH,Ahmedabad,Ahmedabad,7208200,7170,890,Gujarat,Tier I
AM,Amreli,Amreli,1513614,6760,205,Gujarat,Tier III
AN,Anand,Anand,2090276,2942,711,Gujarat,Tier II
AR,Aravalli,Modasa,1051746,3217,327,Gujarat,Tier III
BK,Banaskantha,Palanpur,3116045,12703,290,Gujarat,Tier III
BR,Bharuch,Bharuch,1550822,6524,238,Gujarat,Tier III
BV,Bhavnagar,Bhavnagar,2877961,11155,288,Gujarat,Tier II
BT,Botad,Botad,656005,2564,256,Gujarat,Tier III
CU,Chhota Udaipur,Chhota Udaipur,1071831,3237,331,Gujarat,Tier III
DA,Dahod,Dahod,2126558,3642,582,Gujarat,Tier II
DG,Dang,Ahwa,226769,1764,129,Gujarat,Tier III
DD,Devbhumi Dwarka,Khambhalia,752484,5684,132,Gujarat,Tier III
GA,Gandhinagar,Gandhinagar,1387478,2163,660,Gujarat,Tier III
GS,Gir Somnath,Veraval,1217477,3754,324,Gujarat,Tier III
JA,Jamnagar,Jamnagar,2159130,14125,153,Gujarat,Tier III
JU,Junagadh,Junagadh,2742291,8839,310,Gujarat,Tier III
KH,Kheda,Nadiad,2298934,4215,541,Gujarat,Tier III
KA,Kutch,Bhuj,2090313,45652,46,Gujarat,Tier III
MH,Mahisagar,Lunavada,994624,2500,440,Gujarat,Tier III
MA,Mehsana,Mehsana,2027727,4386,462,Gujarat,Tier III
MB,Morbi,Morbi,960329,4871,197,Gujarat,Tier III
NR,Narmada,Rajpipla,590379,2749,214,Gujarat,Tier III
NV,Navsari,Navsari,1330711,2211,602,Gujarat,Tier III
PM,Panchmahal,Godhra,2388267,5219,458,Gujarat,Tier III
PA,Patan,Patan,1342746,5738,234,Gujarat,Tier III
PO,Porbandar,Porbandar,586062,2294,255,Gujarat,Tier III
RA,Rajkot,Rajkot,3157676,11203,282,Gujarat,Tier II
SK,Sabarkantha,Himatnagar,2427346,7390,328,Gujarat,Tier III
ST,Surat,Surat,6081322,4418,953,Gujarat,Tier II
SN,Surendranagar,Surendranagar,1755873,10489,167,Gujarat,Tier III
TA,Tapi,Vyara,806489,3435,249,Gujarat,Tier III
VD,Vadodara,Vadodara,3639775,4312,467,Gujarat,Tier II
VL,Valsad,Valsad,1703068,3034,561,Gujarat,Tier III
LD,Lakshadweep,Kavaratti,64473,30,2149,Lakshadweep,Tier III
AL,Alappuzha,Alappuzha,2121943,1415,1501,Kerala,Tier III
ER,Ernakulam,Kakkanad,3279860,3063,1069,Kerala,Tier III
ID,Idukki,Painavu,1107453,4356,254,Kerala,Tier III
KN,Kannur,Kannur,2525637,2961,852,Kerala,Tier II
KS,Kasaragod,Kasaragod,1302600,1989,654,Kerala,Tier III
KL,Kollam,Kollam,2629703,2483,1056,Kerala,Tier II
KT,Kottayam,Kottayam,1979384,2206,896,Kerala,Tier III
KZ,Kozhikode,Kozhikode,3089543,2345,1318,Kerala,Tier II
MA,Malappuram,Malappuram,4110956,3554,1058,Kerala,Tier II
PL,Palakkad,Palakkad,2810892,4482,627,Kerala,Tier III
PT,Pathanamthitta,Pathanamthitta,1195537,2652,453,Kerala,Tier III
TV,Thiruvananthapuram,Thiruvananthapuram,3307284,2189,1509,Kerala,Tier II
TS,Thrissur,Thrissur,3110327,3027,1026,Kerala,Tier II
WA,Wayanad,Kalpetta,816558,2130,383,Kerala,Tier III
AD,Adilabad,Adilabad,708952,4185.97,171,Telangana,Tier III
–,Bhadradri Kothagudem,Kothagudem,1304811,8951.0,143,Telangana,Tier III
–,Hanamkonda,Hanamkonda,1135707,1304.5,826,Telangana,Tier III
HY,Hyderabad,Hyderabad,3943323,217.0,18172,Telangana,Tier I
–,Jagtial,Jagtial,983414,3043.23,407,Telangana,Tier III
–,Jangaon,Jangaon,582457,2187.5,259,Telangana,Tier III
–,Jayashankar Bhupalpally,Bhupalpally,712257,6361.7,115,Telangana,Tier III
–,Jogulamba Gadwal,Gadwal,664971,2928.0,208,Telangana,Tier III
–,Kamareddy,Kamareddy,972625,3651.0,266,Telangana,Tier III
KA,Karimnagar,Karimnagar,1016063,2379.07,473,Telangana,Tier III
KH,Khammam,Khammam,1401639,4453.0,321,Telangana,Tier III
–,Kumuram Bheem Asifabad,Asifabad,515835,4300.16,106,Telangana,Tier III
–,Mahabubabad,Mahabubabad,770170,2876.7,269,Telangana,Tier III
MA,Mahbubnagar,Mahbubnagar,1318110,4037.0,281,Telangana,Tier III
–,Mancherial,Mancherial,807037,4056.36,201,Telangana,Tier III
ME,Medak,Medak,767428,2740.89,275,Telangana,Tier III
–,Medchal–Malkajgiri,Shamirpet,2542203,5005.98,2251,Telangana,Tier III
–,Mulugu,Mulugu,294671,3881.0,124,Telangana,Tier III
,Nalgonda,Nalgonda,1631399,2449.79,227,Telangana,Tier III
–,Narayanpet,Narayanpet,566874,2336.44,243,Telangana,Tier III
–,Nagarkurnool,Nagarkurnool,893308,6545.0,124,Telangana,Tier III
–,Nirmal,Nirmal,709415,3562.51,185,Telangana,Tier III
NI,Nizamabad,Nizamabad,1534428,4153.0,366,Telangana,Tier III
–,Peddapalli,Peddapalli,795332,4614.74,356,Telangana,Tier III
–,Rajanna Sircilla,Sircilla,546121,2030.89,273,Telangana,Tier III
RA,Ranga Reddy,Hyderabad,2551731,5031.0,486,Telangana,Tier III
–,Sangareddy,Sangareddy,1527628,4464.87,347,Telangana,Tier III
–,Siddipet,Siddipet,993376,3425.19,279,Telangana,Tier III
–,Suryapet,Suryapet,1099560,3374.47,305,Telangana,Tier III
–,Vikarabad,Vikarabad,881250,3385.0,274,Telangana,Tier III
–,Wanaparthy,Wanaparthy,751553,2938.0,268,Telangana,Tier III
WL,Warangal,Warangal,716457,2175.5,330,Telangana,Tier II
–,Yadadri Bhuvanagiri,Bhongir,726465,3091.48,239,Telangana,Tier III
NI,Nicobar,Car Nicobar,36842,1841,20,Andaman and Nicobar Islands,Tier III
,North and Middle Andaman,Mayabunder,105597,3736,28,Andaman and Nicobar Islands,Tier III
SA,South Andaman,Port Blair,238142,2672,89,Andaman and Nicobar Islands,Tier III
AM,Ambala,Ambala,1136784,1569,722,Haryana,Tier III
BH,Bhiwani,Bhiwani,1629109,5140,341,Haryana,Tier III
CD,Charkhi Dadri,Charkhi Dadri,502276,1370,367,Haryana,Tier III
HR,Faridabad,Faridabad,1798954,783,2298,Haryana,Tier II
FT,Fatehabad,Fatehabad,941522,2538,371,Haryana,Tier III
GU,Gurugram,Gurugram,1514085,1258,1241,Haryana,Tier III
HI,Hisar,Hisar,1742815,3788,438,Haryana,Tier III
JH,Jhajjar,Jhajjar,956907,1868,522,Haryana,Tier III
JI,Jind,Jind,1332042,2702,493,Haryana,Tier III
KT,Kaithal,Kaithal,1072861,2799,467,Haryana,Tier III
KR,Karnal,Karnal,1506323,2471,598,Haryana,Tier II
KU,Kurukshetra,Kurukshetra,964231,1530,630,Haryana,Tier III
MA,Mahendragarh,Narnaul,921680,1900,485,Haryana,Tier III
MW,Nuh,Nuh,1089406,1765,729,Haryana,Tier III
PW,Palwal,Palwal,1040493,1367,761,Haryana,Tier III
PK,Panchkula,Panchkula,558890,816,622,Haryana,Tier III
PP,Panipat,Panipat,1202811,1250,949,Haryana,Tier III
RE,Rewari,Rewari,896129,1559,562,Haryana,Tier III
RO,Rohtak,Rohtak,1058683,1668,607,Haryana,Tier III
SI,Sirsa,Sirsa,1295114,4276,303,Haryana,Tier III
SNP,Sonipat,Sonipat,1480080,2260,697,Haryana,Tier III
YN,Yamunanagar,Yamunanagar,1214162,1756,687,Haryana,Tier III
KR,Kargil,Kargil,143388,14036,10,Ladakh,Tier III
LE,Leh,Leh,133487,45110,3,Ladakh,Tier III
AH,Ahmednagar,Ahmednagar,4543083,17048,266,Maharashtra,Tier III
AK,Akola,Akola,1818617,5429,321,Maharashtra,Tier III
AM,Amravati,Amravati,2887826,12235,237,Maharashtra,Tier II
AU,Aurangabad,Aurangabad,3695928,10107,365,Maharashtra,Tier II
BI,Beed,Beed,2585962,10693,242,Maharashtra,Tier III
BH,Bhandara,Bhandara,1198810,3890,293,Maharashtra,Tier III
BU,Buldhana,Buldhana,2588039,9661,268,Maharashtra,Tier III
CH,Chandrapur,Chandrapur,2194262,11443,192,Maharashtra,Tier III
OS,Osmanabad,Osmanabad,1660311,7569,219,Maharashtra,Tier III
DH,Dhule,Dhule,2048781,8095,285,Maharashtra,Tier III
GA,Gadchiroli,Gadchiroli,1071795,14412,74,Maharashtra,Tier III
GO,Gondia,Gondia,1322331,5431,253,Maharashtra,Tier III
HI,Hingoli,Hingoli,1178973,4526,244,Maharashtra,Tier III
JG,Jalgaon,Jalgaon,4224442,11765,359,Maharashtra,Tier II
JN,Jalna,Jalna,1958483,7718,255,Maharashtra,Tier III
KO,Kolhapur,Kolhapur,3874015,7685,504,Maharashtra,Tier II
LA,Latur,Latur,2455543,7157,343,Maharashtra,Tier III
MC,Mumbai City,Mumbai,3145966,157,20036,Maharashtra,Tier III
MU,Mumbai Suburban,Bandra (East),9332481,446,21000,Maharashtra,Tier III
ND,Nanded,Nanded,3356566,10528,319,Maharashtra,Tier II
NB,Nandurbar,Nandurbar,1646177,5055,276,Maharashtra,Tier III
NG,Nagpur,Nagpur,4653171,9892,470,Maharashtra,Tier II
NS,Nashik,Nashik,6109052,15539,393,Maharashtra,Tier II
PL,Palghar,Palghar,2990116,5344,560,Maharashtra,Tier III
PA,Parbhani,Parbhani,1835982,6511,295,Maharashtra,Tier III
PU,Pune,Pune,9426959,15643,603,Maharashtra,Tier I
RG,Raigad,Alibag,2635394,7152,368,Maharashtra,Tier III
RT,Ratnagiri,Ratnagiri,1612672,8208,196,Maharashtra,Tier III
SN,Sangli,Sangli,2820575,8572,329,Maharashtra,Tier II
ST,Satara,Satara,3003922,10475,287,Maharashtra,Tier III
SI,Sindhudurg,Oros,848868,5207,163,Maharashtra,Tier III
SO,Solapur,Solapur,4315527,14895,290,Maharashtra,Tier II
TH,Thane,Thane,8070032,4214,1915,Maharashtra,Tier III
WR,Wardha,Wardha,1296157,6309,205,Maharashtra,Tier III
WS,Washim,Washim,1196714,5155,244,Maharashtra,Tier III
YA,Yavatmal,Yavatmal,2775457,13582,204,Maharashtra,Tier III
BI,Bilaspur,Bilaspur,382056,1167,327.0,Himachal Pradesh,Tier II
CH,Chamba,Chamba,518844,6528,80.0,Himachal Pradesh,Tier III
HA,Hamirpur,Hamirpur,454293,1118,406.0,Himachal Pradesh,Tier II
KA,Kangra,Dharamshala,1507223,5739,263.0,Himachal Pradesh,Tier III
KI,Kinnaur,Reckong Peo,84298,6401,13.0,Himachal Pradesh,Tier III
KU,Kullu,Kullu,437474,5503,79.0,Himachal Pradesh,Tier III
LH,Lahaul and Spiti,Keylong,18528,7835,2.3,Himachal Pradesh,Tier III
MA,Mandi,Mandi,999518,3950,253.0,Himachal Pradesh,Tier III
SH,Shimla,Shimla,813384,5131,159.0,Himachal Pradesh,Tier II
