Code,District,Headquarters,Population,Area (km2),Density (/km2),State/UnionTerritory,City Tier
NN,Nandyal,Nandyal,1781800,9682.0,184.032,Andhra Pradesh,Tier III
NE,Nellore,Nellore,2469700,10441.0,236.0,Andhra Pradesh,Tier II
NT,NTR,Vijayawada,2218000,3316.0,668.88,Andhra Pradesh,Tier III
PL,Palnadu,Narasaraopet,2042000,7298.0,279.8,Andhra Pradesh,Tier III
PM,Parvathipuram Manyam,Parvathipuram,925300,3659.0,252.88,Andhra Pradesh,Tier III
PR,Prakasam,Ongole,2288000,14322.0,160.0,Andhra Pradesh,Tier III
SR,Srikakulam,Srikakulam,2191471,4591.0,477.34,Andhra Pradesh,Tier III
SS,Sri Sathya Sai,Puttaparthi,1840000,8925.0,206.2,Andhra Pradesh,Tier III
TR,Tirupati,Tirupati,2197000,8231.0,241.72,Andhra Pradesh,Tier III
VS,Visakhapatnam,Visakhapatnam,1959500,1048.0,1869.8,Andhra Pradesh,Tier II
VZ,Vizianagaram,Vizianagaram,1930800,4122.0,468.41,Andhra Pradesh,Tier III
WG,West Godavari,Bhimavaram,1780000,2178.0,817.3,Andhra Pradesh,Tier III
CU,YSR Kadapa,Kadapa,2060700,11228.0,183.532,Andhra Pradesh,Tier III
BPR,Bishnupur,Bishnupur,240363,496,415,Manipur,Tier III
CDL,Chandel,Chandel,144028,3317,37,Manipur,Tier III
CCpr,Churachandpur,Churachandpur,271274,4574,50,Manipur,Tier III
IE,Imphal East,Porompat,452661,710,555,Manipur,Tier III
IW,Imphal West,Lamphelpat,514683,519,847,Manipur,Tier III
JBM,Jiribam,Jiribam,43818,232,190,Manipur,Tier III
KAK,Kakching,Kakching,135481,190,710,Manipur,Tier III
KJ,Kamjong,Kamjong,45616,2000,23,Manipur,Tier III
KPI,Kangpokpi,Kangpokpi,193744,1698,110,Manipur,Tier III
NL,Noney,Noney (Longmai),0,–,–,Manipur,Tier III
PZ,Pherzawl,Pherzawl,47250,2285,21,Manipur,Tier III
SE,Senapati,Senapati,354772,3269,116,Manipur,Tier III
TML,Tamenglong,Tamenglong,140143,4391,25,Manipur,Tier III
TNL,Tengnoupal,Tengnoupal,59110,1213,49,Manipur,Tier III
TBL,Thoubal,Thoubal,420517,514,713,Manipur,Tier III
UKR,Ukhrul,Ukhrul,183115,4547,31,Manipur,Tier III
BO,Bokaro,Bokaro,2061918,2883,716,Jharkhand,Tier III
CH,Chatra,Chatra,1042304,3700,275,Jharkhand,Tier III
DE,Deoghar,Deoghar,1491879,2479,602,Jharkhand,Tier III
DH,Dhanbad,Dhanbad,2682662,2040,1316,Jharkhand,Tier II
DU,Dumka,Dumka,1321096,4404,300,Jharkhand,Tier III
ES,East Singhbhum,Jamshedpur,2291032,3562,648,Jharkhand,Tier III
GA,Garhwa,Garhwa,1322387,4064,327,Jharkhand,Tier III
GI,Giridih,Giridih,2445203,4887,497,Jharkhand,Tier III
GO,Godda,Godda,1311382,2110,622,Jharkhand,Tier III
GU,Gumla,Gumla,1025656,5360,191,Jharkhand,Tier III
HA,Hazaribag,Hazaribag,1734495,3555,488,Jharkhand,Tier III
JA,Jamtara,Jamtara,790207,1802,439,Jharkhand,Tier III
KH,Khunti,Khunti,530299,2535,210,Jharkhand,Tier III
KO,Koderma,Koderma,716259,2540,282,Jharkhand,Tier III
LA,Latehar,Latehar,725673,3630,200,Jharkhand,Tier III
LO,Lohardaga,Lohardaga,461738,1502,307,Jharkhand,Tier III
PK,Pakur,Pakur,899200,1805,498,Jharkhand,Tier III
PL,Palamu,Daltonganj,1936319,4393,442,Jharkhand,Tier III
RM,Ramgarh,Ramgarh,949159,1341,708,Jharkhand,Tier III
RA,Ranchi,Ranchi,2912022,5097,572,Jharkhand,Tier II
SA,Sahibganj,Sahebganj,1150038,2063,558,Jharkhand,Tier III
SK,Seraikela-Kharsawan,Seraikela,1063458,2657,401,Jharkhand,Tier III
SI,Simdega,Simdega,599813,3750,160,Jharkhand,Tier III
WS,West Singhbhum,Chaibasa,1501619,7224,209,Jharkhand,Tier III
AY,Ariyalur,Ariyalur,752481,3208,387,Tamil Nadu,Tier III
